xc_id,satisfied,violation fraction,r_s range,s range,zeta range,alpha range,q range,condition,type,xc_name
gga_c_gam,False,0.08329998,"[0.37412992299229925, 5.0]","[2.755511022044088, 5.0]","[0.0, 1.0]",,,lieb_oxford_bd_check_Uxc,GGA,GAM
gga_c_gam,False,0.459308792,"[0.0001, 4.999499959995999]","[0.2605210420841683, 5.0]","[0.0, 1.0]",,,deriv_lower_bd_check,GGA,GAM
gga_c_gam,False,0.595651962,"[0.0021001600160016, 5.0]","[0.250501002004008, 5.0]","[0.0, 1.0]",,,deriv_upper_bd_check_2,GGA,GAM
gga_c_gam,False,0.59756543,"[0.0001, 5.0]","[0.250501002004008, 5.0]","[0.0, 1.0]",,,negativity_check,GGA,GAM
gga_c_gapc,False,0.00480061,"[0.0006000400040004001, 0.1691135213521352]","[0.5410821643286573, 5.0]","[0.0, 1.0]",,,second_deriv_check,GGA,GAPC
gga_c_gapc,False,0.015067746,"[0.0001, 0.7151572057205721]","[0.16032064128256512, 5.0]","[0.0, 1.0]",,,deriv_upper_bd_check_2,GGA,GAPC
gga_c_gapc,False,0.010784642,"[0.0001, 0.3356268426842684]","[0.9218436873747494, 5.0]","[0.0, 1.0]",,,deriv_lower_bd_check,GGA,GAPC
gga_c_gapc,False,0.003549956,"[0.0001, 0.1686134813481348]","[0.7014028056112224, 5.0]","[0.0, 1.0]",,,negativity_check,GGA,GAPC
gga_c_gapc,False,0.0001616698330166,"[0.0011000800080008001, 0.1691135213521352]","[2.7454909819639277, 5.0]","[0.0, 1.0]",,,deriv_upper_bd_check_1,GGA,GAPC
gga_c_gaploc,False,0.000165874,"[0.0021001600160016, 0.1661132813281328]","[0.4909819639278557, 5.0]","[0.010101010101010102, 1.0]",,,deriv_lower_bd_check,GGA,GAPLOC
gga_c_gaploc,False,0.0001560183981601,"[0.007100560056005601, 0.167613401340134]","[0.6112224448897795, 5.0]","[0.020202020202020204, 1.0]",,,deriv_upper_bd_check_1,GGA,GAPLOC
gga_c_gaploc,False,0.000367378,"[0.002600200020002, 0.170113601360136]","[0.4609218436873747, 5.0]","[0.020202020202020204, 1.0]",,,negativity_check,GGA,GAPLOC
gga_c_gaploc,False,0.004546656,"[0.0016001200120012002, 0.2116169216921692]","[0.4308617234468938, 5.0]","[0.010101010101010102, 1.0]",,,second_deriv_check,GGA,GAPLOC
gga_c_gaploc,False,0.032944748,"[0.002600200020002, 5.0]","[0.2004008016032064, 5.0]","[0.0, 1.0]",,,deriv_upper_bd_check_2,GGA,GAPLOC
gga_c_hcth_a,False,0.493280886,"[0.0001, 5.0]","[2.164328657314629, 5.0]","[0.0, 0.9393939393939394]",,,negativity_check,GGA,HCTH-A
gga_c_hcth_a,False,0.3545359844015598,"[0.0001, 5.0]","[2.50501002004008, 5.0]","[0.0, 0.888888888888889]",,,deriv_upper_bd_check_1,GGA,HCTH-A
gga_c_hcth_a,False,0.453799678,"[0.0006000400040004001, 4.999499959995999]","[2.1543086172344688, 5.0]","[0.0, 0.9393939393939394]",,,second_deriv_check,GGA,HCTH-A
gga_c_hcth_a,False,0.289370122,"[0.0001, 4.999499959995999]","[2.2344689378757514, 5.0]","[0.0, 0.9393939393939394]",,,deriv_lower_bd_check,GGA,HCTH-A
gga_c_hcth_a,True,0.0,,,,,,lieb_oxford_bd_check_Uxc,GGA,HCTH-A
gga_c_hcth_a,True,0.0,,,,,,lieb_oxford_bd_check_Exc,GGA,HCTH-A
gga_c_hcth_a,False,0.500809378,"[0.006100480048004801, 5.0]","[2.1543086172344688, 5.0]","[0.0, 0.9393939393939394]",,,deriv_upper_bd_check_2,GGA,HCTH-A
