label,error
H,-0.014409644559285173
He,0.006889909381451509
Li,-3.1409533146385344
Be,-0.02316260933447284
B,-0.011285081745552372
C,-0.006150406508075412
N,-0.004388800889671196
O,-0.009655291524872212
F,-0.007265308801378545
Ne,-0.006883233661446719
Na,-0.02047780902896193
Mg,-0.012176905602547361
Al,-0.021107918104182194
Si,-0.018245648430502193
P,-0.015577942621376406
S,-0.013405956296584531
Cl,-0.01108213839311012
Ar,-0.008677409845295525
