xc id,xc label,dfa type,condition,satisfied,fraction violated,r_s_range,s_range,zeta_range,alpha_range,q_range
mgga_c_m06_l,M06-L,MGGA,negativity_check,False,0.700323381,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",
mgga_c_m06_l,M06-L,MGGA,deriv_lower_bd_check,False,0.661265467,"[0.0001, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",
mgga_c_m06_l,M06-L,MGGA,deriv_upper_bd_check_1,False,0.704907615,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",
mgga_c_m06_l,M06-L,MGGA,deriv_upper_bd_check_2,False,0.697568782,"[0.003100540108021604, 5.0]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",
mgga_c_m06_l,M06-L,MGGA,second_deriv_check,False,0.696308168,"[0.0011001800360072014, 4.998999819963992]","[0.0, 5.0]","[0.0, 1.0]","[0.0, 5.0]",
hyb_gga_xc_pbeh,PBEH,HYB_GGA,negativity_check,True,0.0,,,,,
hyb_gga_xc_pbeh,PBEH,HYB_GGA,deriv_lower_bd_check,True,0.0,,,,,
hyb_gga_xc_pbeh,PBEH,HYB_GGA,deriv_upper_bd_check_1,True,0.0,,,,,
hyb_gga_xc_pbeh,PBEH,HYB_GGA,deriv_upper_bd_check_2,False,0.004762352,"[0.5511440844084409, 1.8917513351335133]","[1.122244488977956, 2.1843687374749496]","[0.0, 0.98989898989899]",,
hyb_gga_xc_pbeh,PBEH,HYB_GGA,second_deriv_check,True,0.0,,,,,
hyb_gga_xc_pbeh,PBEH,HYB_GGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
hyb_gga_xc_pbeh,PBEH,HYB_GGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,negativity_check,True,0.0,,,,,
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,deriv_lower_bd_check,True,0.0,,,,,
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,deriv_upper_bd_check_1,True,0.0,,,,,
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,deriv_upper_bd_check_2,True,0.0,,,,,
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,second_deriv_check,True,0.0,,,,,
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,lieb_oxford_bd_check_Uxc,False,0.000987236,"[2.7095877175435086, 5.0]","[0.0, 0.25252525252525254]","[0.0, 1.0]","[3.8383838383838382, 5.0]",
hyb_mgga_xc_bb1k,BB1K,HYB_MGGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,negativity_check,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,deriv_lower_bd_check,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,deriv_upper_bd_check_1,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,deriv_upper_bd_check_2,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,second_deriv_check,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
mgga_xc_cc06,CC06,MGGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,negativity_check,False,0.4574169,"[0.0001, 5.0]","[2.034068136272545, 5.0]","[0.0, 0.9797979797979799]",,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,deriv_lower_bd_check,False,0.173998948,"[0.0001, 2.3102848184818483]","[2.074148296593186, 5.0]","[0.0, 0.9595959595959597]",,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,deriv_upper_bd_check_1,True,0.0,,,,,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,deriv_upper_bd_check_2,False,0.450991844,"[0.6771541654165416, 5.0]","[1.6132264529058116, 5.0]","[0.0, 0.98989898989899]",,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,second_deriv_check,False,0.1541458,"[0.0006000400040004001, 1.5702256125612561]","[1.7134268537074147, 5.0]","[0.0, 0.98989898989899]",,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
hyb_gga_xc_b5050lyp,B5050LYP,HYB_GGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,negativity_check,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,deriv_lower_bd_check,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,deriv_upper_bd_check_1,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,deriv_upper_bd_check_2,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,second_deriv_check,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
hyb_gga_xc_b1pw91,B1PW91,HYB_GGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
gga_xc_hcth_p76,HCTH-P76,GGA,negativity_check,False,0.985532232,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]",,
gga_xc_hcth_p76,HCTH-P76,GGA,deriv_lower_bd_check,False,0.92898347,"[0.0001, 4.999499959995999]","[0.0, 5.0]","[0.0, 1.0]",,
gga_xc_hcth_p76,HCTH-P76,GGA,deriv_upper_bd_check_1,False,0.9994,"[0.0001, 5.0]","[0.0, 5.0]","[0.0, 1.0]",,
gga_xc_hcth_p76,HCTH-P76,GGA,deriv_upper_bd_check_2,False,0.977922426,"[0.0031002400240024, 5.0]","[0.0, 5.0]","[0.0, 1.0]",,
gga_xc_hcth_p76,HCTH-P76,GGA,second_deriv_check,False,0.991066516,"[0.0006000400040004001, 4.999499959995999]","[0.0, 5.0]","[0.0, 1.0]",,
gga_xc_hcth_p76,HCTH-P76,GGA,lieb_oxford_bd_check_Uxc,False,0.00516144,"[0.0001, 0.6416513251325132]","[3.0160320641282565, 5.0]","[0.7373737373737375, 1.0]",,
gga_xc_hcth_p76,HCTH-P76,GGA,lieb_oxford_bd_check_Exc,False,0.01128209,"[0.0001, 1.408712691269127]","[3.0160320641282565, 5.0]","[0.7373737373737375, 1.0]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,negativity_check,False,0.612270402,"[0.0001, 5.0]","[1.3226452905811623, 5.0]","[0.0, 1.0]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,deriv_lower_bd_check,False,0.463787692,"[0.0001, 4.999499959995999]","[1.4028056112224447, 5.0]","[0.0, 0.98989898989899]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,deriv_upper_bd_check_1,False,0.600545646,"[0.0001, 5.0]","[1.503006012024048, 5.0]","[0.0, 1.0]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,deriv_upper_bd_check_2,False,0.607803942,"[0.0036002800280028, 5.0]","[1.342685370741483, 5.0]","[0.0, 1.0]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,second_deriv_check,False,0.60117497,"[0.0006000400040004001, 4.999499959995999]","[1.3226452905811623, 5.0]","[0.0, 1.0]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,lieb_oxford_bd_check_Uxc,False,0.050380464,"[0.0001, 5.0]","[3.8677354709418834, 5.0]","[0.0, 1.0]",,
hyb_gga_xc_b97_3,B97-3,HYB_GGA,lieb_oxford_bd_check_Exc,False,0.089425052,"[0.0001, 5.0]","[3.8677354709418834, 5.0]","[0.0, 1.0]",,
gga_c_pbefe,PBEFE,GGA,lieb_oxford_bd_check_Uxc,True,0.0,,,,,
gga_c_pbefe,PBEFE,GGA,lieb_oxford_bd_check_Exc,True,0.0,,,,,
gga_c_pbefe,PBEFE,GGA,negativity_check,True,0.0,,,,,
gga_c_pbefe,PBEFE,GGA,deriv_lower_bd_check,True,0.0,,,,,
gga_c_pbefe,PBEFE,GGA,deriv_upper_bd_check_1,True,0.0,,,,,
gga_c_pbefe,PBEFE,GGA,deriv_upper_bd_check_2,False,0.00593297,"[0.5511440844084409, 1.8922513751375138]","[1.4028056112224447, 2.715430861723447]","[0.0, 0.98989898989899]",,
gga_c_pbefe,PBEFE,GGA,second_deriv_check,True,0.0,,,,,
hyb_gga_xc_mpw1lyp,MPW1LYP,HYB_GGA,negativity_check,False,0.576367864,"[0.0001, 5.0]","[1.7434869739478958, 5.0]","[0.0, 0.98989898989899]",,
