System,error
H,-0.0019775622429998307
He,0.011228225404289138
Li,0.00012513108008962992
Be,-0.014367199802468866
B,0.011228082296596387
C,0.0046293553540138754
N,-0.0008118751279152514
O,0.011352945145169713
F,0.00329559592795281
Ne,-0.002459226494002986
Na,-0.0003296237695462889
Mg,-0.002892160970577873
Al,-0.003677898005069541
Si,-0.005454356342193101
P,-0.006787187843456832
S,0.00027616528383161976
Cl,-0.0018573295667783096
Ar,-0.0031439446196421805
